DATE,TIME,NAME,Mw,R_EPI,R_HYP,H,PGA_ew,PGA_ns,PGV_ew,PGV_ns,SOIL
20100609,"172550,2",DIGR,"4,4","164,493","165,4644",16,"2,90E-04","2,57E-04","9,88E-06","8,84E-06","Алевролиты, аргиллиты с редкими прослоями песчаников и глинистых сланцев, ниже по разрезу гранитоиды"
20100609,"172550,2",VLKR,"4,4","75,854","77,6663",16,"6,26E-04","0,00E+00","1,63E-05","0,00E+00",Песчано-валунно-галечные отложения
20100609,"172550,2",ARNR,"4,4","100,798","102,1267",16,"1,01E-03","2,95E-04","1,27E-05","1,21E-05",Песчано-валунно-галечные отложения
20100609,"172550,2",STDR,"4,4","116,289","117,433",16,"2,16E-04","3,00E-04","1,12E-05","1,29E-05",Песчано-валунно-галечные отложения
20100609,"172550,2",BTKR,"4,4","77,514","79,2705",16,"2,89E-04","3,12E-04","1,19E-05","1,22E-05","Суглинки и супеси, ниже по разрезу глины"
20110113,"25012,1",VLKR,"4,3","126,815","127,1117",8,"3,82E-04","4,60E-04","2,73E-05","2,28E-05",Песчано-валунно-галечные отложения
20110113,"25012,1",DIGR,"4,3","217,626","217,8512",8,"1,96E-04","2,74E-04","4,60E-06","5,93E-06","Алевролиты, аргиллиты с редкими прослоями песчаников и глинистых сланцев, ниже по разрезу гранитоиды"
20110113,"25012,1",GOF,"4,3","325,997","326,1025",8,"1,36E-04","1,12E-04","8,90E-06","6,08E-06",Песчано-глинистые осадки
20110113,"25012,1",STDR,"4,3","175,555","175,7536",8,"1,13E-04","1,27E-04","5,55E-06","5,86E-06",Песчано-валунно-галечные отложения
20110113,"25012,1",ARNR,"4,3","157,171","157,3964",8,"9,66E-05","1,06E-04","9,35E-06","7,10E-06",Песчано-валунно-галечные отложения
20110113,"25012,1",BTKR,"4,3",137,"137,2693",8,"2,98E-04","1,79E-04","1,19E-05","1,20E-05","Суглинки и супеси, ниже по разрезу глины"
20110113,"25012,1",KORR,"4,3","175,438","175,6495",8,"2,60E-04","3,21E-04","1,24E-05","1,23E-05","Суглинки, глины с прослоями песков"
20110113,"25012,1",PRTR,"4,3","167,348","167,5457",8,"3,76E-04","4,61E-04","1,11E-05","1,31E-05","Глина, суглинок, песчано-валунно-галечные отложения"
20110113,"25012,1",ARNR,"4,3","157,171","157,3964",8,"9,63E-05","1,12E-04","9,41E-06","7,00E-06",Песчано-валунно-галечные отложения
20110818,"115742,7",ANN,"4,9","521,993","522,0282",6,"1,75E-05","3,24E-05","2,32E-06","2,41E-06","Суглинок, аллювий, глины сланцеватые, песчаники"
20110818,"115742,7",DVE,"4,9","261,318","261,4065",6,"2,26E-04","2,00E-04","1,74E-05","1,51E-05",
20110818,"115742,7",GRO,"4,9","235,095","235,1754",6,"2,05E-04","2,21E-04","3,96E-05","2,27E-05",Галечники
20110818,"115742,7",NVNR,"4,9","240,561","240,6445",6,"0,00E+00","8,18E-04","0,00E+00","1,04E-05",
20110818,"115742,7",NVNR,"4,9","240,561","240,6445",6,"0,00E+00","1,62E-04","0,00E+00","1,87E-05",
20110818,"115742,7",RPOR,"4,9","252,532","252,6182",6,"8,30E-05","2,70E-04","7,79E-06","1,34E-05",
20110818,"115742,7",SHA1,"4,9","131,402","131,6526",6,"0,00E+00","5,23E-05","0,00E+00","1,20E-06",Известняк
20110818,"115742,7",VLKR,"4,9","148,789","148,9389",6,"3,06E-04","2,50E-04","5,19E-05","3,76E-05",Песчано-валунно-галечные отложения
20110818,"115742,7",GNBR,"4,9","328,555","328,6341",6,"8,47E-05","6,28E-05","1,04E-05","1,06E-05",Известняк
20110818,"115742,7",BEYR,"4,9","159,901","160,0405",6,"4,82E-04","0,00E+00","2,20E-05","0,00E+00",Мергелистые известняки
20110818,"115742,7",ERBR,"4,9","401,499","401,5482",6,"4,81E-04","3,60E-04","6,24E-05","6,41E-05",
20110818,"115742,7",KGUR,"4,9","417,204","417,2481",6,"2,52E-05","2,23E-05","6,09E-06","5,57E-06",
20120311,84128,GOF,"4,5","484,953","485,4202",21,"2,75E-05","5,67E-05","1,19E-06","1,11E-06",Песчано-глинистые осадки
20120311,84128,HNZR,"4,5","109,043","111,3754",21,"8,17E-04","7,42E-04","3,08E-05","3,71E-05","Скала, известняк"
20120311,84128,VLKR,"4,5","230,273","231,2913",21,"1,94E-05","1,91E-05","2,90E-06","2,80E-06",Песчано-валунно-галечные отложения
20120311,84128,VLKR,"4,5","230,273","231,2913",21,"3,64E-06","1,77E-06","5,44E-07","2,58E-07",Песчано-валунно-галечные отложения
20120311,84128,ARNR,"4,5","263,781","264,6493",21,"2,61E-05","2,16E-05","1,41E-06","1,72E-06",Песчано-валунно-галечные отложения
20120311,84128,MAK,"4,5","167,547","168,8631",21,"1,51E-04","5,79E-04","1,37E-05","1,59E-05",Аллювиальные отложения
20120311,84128,DIGR,"4,5","292,505","293,4003",21,"1,47E-05","8,13E-06","4,86E-07","4,10E-07","Алевролиты, аргиллиты с редкими прослоями песчаников и глинистых сланцев, ниже по разрезу гранитоиды"
20120311,84128,LACR,"4,5","238,651","239,6884",21,"5,12E-05","4,63E-05","3,94E-06","2,97E-06","Алевролиты, аргиллиты с редкими прослоями песчаников и глинистых сланцев,"
20120311,84128,ARNR,"4,5","263,781","264,6493",21,"2,56E-05","2,08E-05","1,34E-06","1,48E-06",Песчано-валунно-галечные отложения
20120311,84128,KBTC,"4,5","363,744","364,3899",21,"5,89E-05","6,64E-05","4,24E-06","4,08E-06",Глина
20120311,84128,STDR,"4,5","291,157","291,9389",21,"1,38E-05","2,11E-05","1,39E-06","9,59E-07",Песчано-валунно-галечные отложения
20120311,84128,GNBR,"4,5","93,768","96,3625",21,"3,92E-03","6,39E-04","5,13E-05","3,15E-05",Известняк
20120311,84128,KMGR,"4,5","220,48","221,5491",21,"3,39E-04","1,56E-04","9,76E-06","4,37E-06","Супесь, суглинок"
20120311,84128,BTKR,"4,5","264,116","264,9974",21,"2,10E-04","1,83E-04","3,34E-06","3,58E-06","Суглинки и супеси, ниже по разрезу глины"
20120311,84128,KORR,"4,5","270,683","271,5449",21,"5,64E-05","7,54E-05","2,90E-06","3,58E-06","Суглинки, глины с прослоями песков"
20120502,"4419,6",GOF,"4,3","114,318","114,5504",7,"8,09E-04","8,33E-04","1,01E-05","1,06E-05",Песчано-глинистые осадки
20120502,"4419,6",LABN,"4,3","75,088","75,441",7,"1,09E-03","9,46E-04","4,47E-05","4,87E-05",
20120502,"4419,6",NVNR,"4,3","28,413","29,3458",7,"7,26E-04","8,34E-04","9,10E-06","1,04E-05",
20120502,"4419,6",NVNR,"4,3","28,413","29,3458",7,"2,23E-02","2,50E-02","2,89E-04","3,27E-04",
20120502,"4419,6",RPOR,"4,3","161,366","161,5449",7,"4,19E-04","3,39E-04","1,10E-05","1,17E-05",
20120502,"4419,6",VOZR,"4,3","273,073","273,1651",7,"2,68E-05","2,15E-05","1,43E-06","1,51E-06",
20120502,"4419,6",NVNR,"4,3","28,413","29,3458",7,"2,23E-02","2,50E-02","2,89E-04","3,27E-04",
20120502,"4419,6",SOC,"4,3","200,523","200,6515",7,"7,11E-05","7,48E-05","4,47E-06","3,95E-06",Глинистые сланцы
20120502,"4419,6",ANN,"4,3","343,498","343,5705",7,"2,64E-05","3,49E-05","1,03E-06","1,39E-06","Суглинок, аллювий, глины сланцеватые, песчаники"
20120502,"4419,6",BEYR,"4,3","123,45","123,6887",7,"3,58E-03","6,98E-04","1,07E-04","2,24E-05",Мергелистые известняки
